,X-Dist,Y-Dist,Speed,Direction,RotSpeed,Collision_Y,Collision_N
163,0.252343,0.182513,0.724808,0.917327,0.082778,1,0
164,0.337887,0.227871,0.97071,-0.293126,0.002407,0,1
165,-0.157204,0.423458,0.294227,-0.583759,0.394326,1,0
166,0.129855,0.589216,0.45686,-0.938489,0.949979,1,0
167,-0.134122,0.045362,0.682101,0.173211,0.017442,1,0
168,-0.002997,0.070082,0.522552,-0.307661,0.90934,1,0
169,0.442581,0.196782,0.055233,-0.599792,-0.214693,0,1
170,0.022601,0.155503,0.496272,-0.323411,0.165844,1,0
171,-0.993896,0.025721,0.179866,-0.742419,-0.777801,0,1
172,0.158867,0.397441,0.422117,-0.06681,-0.986233,0,1
173,0.166411,0.961381,0.89552,-0.40429,0.927505,0,1
174,-0.102277,0.8203,0.155945,-0.803915,-0.423275,1,0
175,0.344302,0.143689,0.091754,0.481819,-0.309146,0,1
176,0.721151,0.348631,0.102537,0.552344,0.866276,0,1
177,-0.504626,0.555884,0.941865,0.540075,0.043244,0,1
178,-0.037454,0.844261,0.586361,0.749756,-0.533752,1,0
179,0.91807,0.444561,0.502452,-0.926743,-0.04717,0,1
180,0.237247,0.133231,0.745576,0.936417,0.469886,1,0
181,-0.47251,0.034562,0.355802,-0.252505,0.8746,0,1
182,0.743725,0.233981,0.702713,-0.997583,-0.068011,0,1
183,-0.175696,0.8474,0.483689,-0.228403,-0.161297,1,0
184,0.063367,0.611559,0.424767,-0.657698,0.183798,1,0
185,-0.417224,0.460907,0.635019,-0.17342,-0.637619,0,1
186,0.020999,0.970325,0.955467,-0.63645,0.803541,1,0
187,0.345428,0.235583,0.172262,-0.535142,0.197807,0,1
188,-0.561271,0.067404,0.728208,-0.252294,0.64067,0,1
189,0.490786,0.332562,0.049985,-0.309733,-0.446045,0,1
190,-0.532374,0.283184,0.086616,-0.481151,0.020137,0,1
191,0.121939,0.253673,0.119846,-0.562633,-0.378922,1,0
192,0.219978,0.509703,0.206413,0.147491,-0.037508,0,1
193,0.145557,0.969753,0.798519,0.019869,-0.887032,1,0
194,0.324845,0.06114,0.607447,0.457953,0.36786,1,0
195,-0.172937,0.235042,0.816004,0.497947,-0.966229,1,0
196,0.068213,0.670375,0.685373,-0.129027,0.771441,1,0
197,-0.155923,0.332928,0.818754,0.192056,-0.774326,1,0
198,0.027759,0.967311,0.220604,-0.284744,-0.923241,1,0
199,0.790679,0.906806,0.029121,-0.942597,-0.674081,0,1
200,0.791336,0.347653,0.569328,-0.594832,-0.522639,0,1
201,-0.738629,0.004836,0.292046,-0.813601,-0.73634,0,1
202,0.263803,0.044912,0.97716,0.375391,0.691584,1,0
203,-0.317273,0.221031,0.259041,0.42634,0.586349,0,1
204,-0.535213,0.80793,0.766902,-0.67342,0.301706,1,0
205,-0.926884,0.188775,0.340184,-0.619265,0.921578,0,1
206,-0.632599,0.625409,0.778663,-0.793694,0.705478,0,1
207,-0.039705,0.528001,0.024955,-0.728696,-0.405911,1,0
208,0.658931,0.72961,0.414696,0.717294,0.126579,1,0
209,-0.966424,0.110704,0.445757,-0.162485,0.815978,0,1
210,0.122242,0.823786,0.994773,-0.957582,-0.172442,0,1
211,0.990388,0.651194,0.96311,0.568537,0.945681,0,1
212,0.886083,0.553584,0.463582,-0.382007,-0.029291,0,1
213,0.258191,0.30427,0.017546,0.926019,0.811377,0,1
214,-0.077038,0.977179,0.672418,0.034492,-0.326261,1,0
215,-0.185884,0.8651,0.675788,0.577937,-0.480759,1,0
216,-0.202959,0.499239,0.506897,-0.265865,-0.053963,1,0
217,0.310733,0.485527,0.891597,0.703524,-0.910624,0,1
218,-0.607594,0.612141,0.888767,0.259144,0.322804,0,1
219,-0.77337,0.520814,0.809833,0.508406,-0.744383,0,1
220,-0.652131,0.499365,0.518345,0.721787,-0.6017,0,1
221,-0.024905,0.98553,0.093464,0.719416,0.693173,1,0
222,-0.173003,0.497637,0.626851,0.648882,-0.995714,1,0
223,0.847919,0.157371,0.214711,0.046945,-0.490027,0,1
224,-0.130482,0.141902,0.387291,-0.39145,0.256509,1,0
225,0.055122,0.898734,0.118811,-0.511435,0.563506,1,0
226,-0.268502,0.493718,0.714722,-0.277584,0.101573,1,0
